id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
18222,49761,43626,päivälline,krl,NOUN,обед,"lunch, dinner",597,B181
18223,49759,43624,päivällini,krl,NOUN,обед,"lunch, dinner",597,B181
18224,29237,25421,päiväne,krl,NOUN,"солнце, солнышко",sun,3,A11
18225,42062,36366,päiväni,krl,NOUN,солнце,sun,3,A11
18226,58886,51897,päivännoužuronda,krl,NOUN,восток,east,1389,C2
18227,75319,64289,päiväyttyä,krl,VERB,"передохнуть, дать отдохнуть",,,
18228,58864,51875,päiväzenlašku,krl,NOUN,запад,west,1388,C2
18229,83110,70859,päiväzenlašku,krl,NOUN,"заход, закат",,,
18230,58871,51882,päiväzenlaškuranda,krl,NOUN,запад,west,1388,C2
18231,58887,51898,päiväzennouzuranda,krl,NOUN,восток,east,1389,C2
18232,83112,70861,päiväzennoužu,krl,NOUN,восход (солнца),,,
18233,77670,66321,päiväčin,krl,ADV,"за один день, одним днем",,,
18234,52764,46443,päičet,krl,NOUN,узда,,838,B331
18235,46641,40756,päkie,krl,NOUN,подъем ноги,,381,B12
18236,75320,64290,pälvehtie,krl,VERB,"ждать в бездействии, маяться",,,
18237,75321,64291,pälvetä,krl,VERB,таять местами,,,
18238,75322,64292,pälvittyä,krl,VERB,создавать проталины,,,
18239,83640,71292,päppä,krl,NOUN,детск. хлеб,,,
18240,29238,25422,päre,krl,NOUN,лучина,,1155,B374
18241,29239,25422,päre,krl,NOUN,дранка,,,
18242,75323,64293,pärissä,krl,VERB,"трястись, стучать, скрипеть",,,
18243,86106,73491,pärjätä,krl,VERB,"обходиться, справляться",,,
18244,75324,64294,pärpättyä,krl,VERB,"болтать, говорить без остановки",,,
18245,56097,49372,pär’,krl,NOUN,лучина,,1155,B374
18246,88188,75395,pätkä,krl,NOUN,"кончик, кусочек, обрывок",,,
18247,56294,49554,pätnä,krl,NOUN,пятно (на одежде),,1177,B375
18248,85889,73314,pätyö,krl,VERB,"годиться, подходить",,,
18249,85890,73314,pätyö,krl,VERB,стоить,to cost,,
18250,85891,73314,pätyö,krl,VERB,нравиться,,,
18251,45992,40135,pää,krl,NOUN,голова,head,331,B12
18252,59050,52024,päävä,krl,NOUN,день,day,1399,C3
18253,42066,36369,pääväne,krl,NOUN,солнце,sun,3,A11
18254,58880,51891,pääväžennoožu,krl,NOUN,восток,east,1389,C2
18255,55991,49285,päčči,krl,NOUN,печь (в избе),bake,1145,B374
18256,43129,37380,pödäi,krl,NOUN,сосна,pine,106,A322
18257,29240,25423,pöhlö,krl,ADJ,"гнилой, ветхий",,,
18258,45293,39483,pökkelö,krl,NOUN,червяк,,275,A44
18259,54385,47879,pölkky,krl,NOUN,чурбак,,992,B354
18260,29242,25425,pöllätellä,krl,VERB,"пугать, отпугивать",,,
18261,48432,42402,pöllättii,krl,VERB,пугать,,504,B15
18262,29243,25426,pöllättiä,krl,VERB,"напугать, отпугнуть",,504,B15
18263,48428,42398,pöllättyä,krl,VERB,пугать,,504,B15
18264,48427,42397,pöllättää,krl,VERB,пугать,,504,B15
18265,48431,42401,pöllättöä,krl,VERB,пугать,,504,B15
18266,29241,25424,pölläštyö,krl,VERB,"испугаться, напугаться",,,
18267,82409,70318,pöllö,krl,NOUN,сова,owl,236,A42
18268,44809,39010,pöllöhaukka,krl,NOUN,сова,owl,236,A42
18269,56310,49570,pöly,krl,NOUN,пыль,dust,1178,B375
18270,81348,69455,pölyne,krl,NOUN,пылинкa,,,
18271,80212,68479,pölytä,krl,VERB,"пылить, поднимать пыль",,,
18272,75325,64295,pölyštyö,krl,VERB,запылиться,,,
18273,75327,64297,pölätellä,krl,VERB,пугать,,,
18274,48430,42400,pölättie,krl,VERB,пугать,,504,B15
18275,75328,64298,pölättyä,krl,VERB,пугать,,504,B15
18276,75326,64296,pöläštyö,krl,VERB,испугаться,to get scared,,
18277,55523,48866,pöngeri,krl,NOUN,завалина,,1098,B372
18278,83576,71240,pöngä,krl,NOUN,"подпорка, упор",,,
18279,55524,48867,pöngär,krl,NOUN,"завалинка, земляной уступ",,1098,B372
18280,75329,64299,pönkätä,krl,VERB,"припереть, приставить подпорку к двери",,,
18281,44146,38367,pöppö,krl,NOUN,медведь,bear,175,A412
18282,29244,25427,pöpökkä,krl,NOUN,букашка,beetle,262,A44
18283,29245,25428,pöpökkäne,krl,NOUN,букашка,beetle,,
18284,75331,64301,pörhistyä,krl,VERB,"взъерошить, расправить",,,
18285,75332,64302,pörhistyö,krl,VERB,"взъерошиться, расправиться",,,
18286,45106,39298,pörisijäini,krl,NOUN,жук,beetle,262,A44
18287,75330,64300,pörissä,krl,VERB,жужжать,"to hum, to buzz, to whirr",,
18288,45105,39297,pörö,krl,NOUN,жук,beetle,262,A44
18289,75333,64303,pötkähtyä,krl,VERB,"рухнуть, упасть от усталости",,,
18290,82160,70114,pövy,krl,NOUN,шуба,fur coat (coat made out of fur),662,B182
18291,29246,25429,pöyry,krl,NOUN,"метель, пурга",,38,A12
18292,29247,25430,pöyrytä,krl,VERB,"мести, заметать, вьюжить",,,
18293,45995,40138,pöä,krl,NOUN,голова,head,331,B12
18294,44577,38785,pöäkšyt,krl,NOUN,ласточка,swallow (bird),215,A42
18295,59266,52240,pöätinčä,krl,NOUN,пятница,Friday,1416,C3
18296,46886,40984,pöččö,krl,NOUN,"живот, брюхо",,395,B12
18297,84189,40984,pöččö,krl,NOUN,беременность,,,
18298,84190,40984,pöččö,krl,NOUN,"желудок, стенки желудка животных, рубец",,,
18299,46623,40738,pöččöne,krl,NOUN,икра ноги,,380,B12
18300,78514,67086,pšonka,krl,NOUN,пшённая крупа,millet groats,,
18301,82976,70764,p’atistenka,krl,NOUN,дом-пятистенок,,,
18302,56292,49552,p’atna,krl,NOUN,пятно (на одежде),,1177,B375
18303,42844,37107,raada,krl,NOUN,железо,iron,76,A22
18304,56076,37107,raada,krl,NOUN,"кресало, огниво",,1150,B374
18305,51693,45446,raadaa,krl,VERB,работать,,746,B31
18306,51705,45458,raado,krl,NOUN,работа,,747,B31
18307,43323,37567,raaga,krl,ADJ,незрелый (о ягодах),unripe,126,A323
18308,54035,47571,raaga,krl,NOUN,удилище,,960,B353
18309,57685,50769,raaha,krl,NOUN,мир,"peace, world",1283,B51
18310,57686,50770,raahuš,krl,NOUN,мир,"peace, world",1283,B51
18311,52782,46461,raavat,krl,NOUN,удила,bar bit; bit,840,B331
18312,50129,43964,raba,krl,NOUN,"пивная гуща, барда",,628,B181
18313,88696,75848,raba,krl,NOUN,раб,slave,,
18314,83252,70973,rabata,krl,VERB,"охватить огнём, вспыхнуть чему-л. разом",,,
18315,51805,45558,rabieštaa,krl,VERB,прибирать (в квартире),,754,B31
18316,56338,45558,rabieštaa,krl,VERB,убирать (в доме),,1172,B375
18317,29248,25431,rabieštua,krl,VERB,"прибирать, наводить порядок",,754,B31
18318,29249,25431,rabieštua,krl,VERB,"убирать, прятать",,,
18319,56339,25431,rabieštua,krl,VERB,убирать (в доме),,1172,B375
18320,56231,49491,rabištoa,krl,VERB,убирать (в доме),,1172,B375
18321,56230,49490,rabištua,krl,VERB,убирать (в доме),,1172,B375
18322,83135,70875,rabuačie,krl,VERB,"хвататься, браться за какое-л. дело",,,
18323,83136,70875,rabuačie,krl,VERB,"ринуться, броситься куда-л.",,,
18324,87438,74725,radeniešti,krl,ADV,охотно; усердно,,,
18325,86185,73568,radio,krl,NOUN,радио,radio,,
18326,42355,36646,raduga,krl,NOUN,радуга,rainbow,29,A12
18327,82892,70708,ragendo,krl,NOUN,кадка,,1129,B373
18328,82331,70244,ragiž,krl,NOUN,град,hail,31,A12
18329,55511,48854,rago,krl,NOUN,щель,"gap, crack, opening",1097,B372
18330,88648,75805,ragone,krl,NOUN,"щёлка, щёлочка",,,
18331,55043,48436,raha,krl,NOUN,деньги,money,1054,B36
18332,55040,48433,rahat,krl,NOUN,деньги,money,1054,B36
18333,52814,46493,rahiis’,krl,NOUN,гуж,,844,B331
18334,52812,46491,rahis,krl,NOUN,гуж,,844,B331
18335,52813,46492,rahis’,krl,NOUN,гуж хомута,,844,B331
18336,53275,46904,rahk,krl,NOUN,творог,,888,B333
18337,29252,25434,rahka,krl,NOUN,творог,,888,B333
18338,53289,46918,rahkamaido,krl,NOUN,сыворотка,,889,B333
18339,53285,46914,rahkaveži,krl,NOUN,сыворотка,,889,B333
18340,82820,70649,rahkiš,krl,NOUN,гуж,,844,B331
18341,75334,64304,rahnikoija,krl,VERB,"бить, ударять",,,
18342,75335,64304,rahnikoija,krl,VERB,"заплетать, сплетать",,,
18343,56397,49616,rahti,krl,NOUN,перевозка,,1182,B38
18344,75336,64305,rahuo,krl,VERB,тянуть зимний невод,,,
18345,29253,25435,rahvahatoin,krl,ADJ,безлюдный,,,
18346,45473,39649,rahvas,krl,NOUN,"народ, люди",,288,B11
18347,82433,70338,rahvaz,krl,NOUN,"народ, люди",,288,B11
18348,29254,25436,rahvaš,krl,NOUN,"народ, люди",,288,B11
18349,43238,37483,raid,krl,NOUN,ива,willow,117,A322
18350,29255,25437,raida,krl,NOUN,"ива, ветла",willow,117,A322
18351,85862,73288,raidahine,krl,ADJ,"ивовый, сделанный из ивы",,,
18352,42358,36649,raiduga,krl,NOUN,радуга,rainbow,29,A12
18353,29256,25438,raipata,krl,VERB,"прихватить, схватить (о внезапной боли в пояснице)",,,
18354,43667,37906,rais,krl,NOUN,град,hail,31,A12
18355,29257,25439,rais’,krl,NOUN,град,hail,31,A12
18356,43236,37481,raita,krl,NOUN,ива,willow,117,A322
18357,56412,49631,raito,krl,NOUN,"райда, олений обоз",,1184,B38
18358,75337,64306,raittua,krl,VERB,постоянно входить и выходить; ходить туда-сюда,,,
18359,75338,64307,raivata,krl,VERB,"расчищать, раскорчевывать",,,
