id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
152,75979,64837,Riw-raw,olo,INTJ,рив-рив,,,
153,16230,14663,Ruadenčat,olo,PROPN,"Радуница, день поминовения",,,
154,16360,14775,Rumiinii,olo,PROPN,Румыния,Romania,,
155,86262,73644,Ruokoski,olo,PROPN,Рогокоски,,,
156,16382,14796,Ruočči,olo,PROPN,Швеция,Sweden,,
157,77410,66083,Sammatus,olo,PROPN,Самбатукса,,,
158,81849,69872,Selgi,olo,PROPN,Сельга,,,
159,17723,15986,Serbii,olo,PROPN,Сербия,Serbia,,
160,18915,17036,Spuasanpäivy,olo,PROPN,"Cпас, праздник Преображения (праздник православной церкви)",,,
161,76004,64861,Spuasoini,olo,NOUN,"Спас, Бог",,,
162,86816,74144,Spuasu,olo,PROPN,"Спас, Спаситель",,,
163,18920,17040,Sroičanpäivy,olo,PROPN,Троица (праздник православной церкви),,,
164,77133,65821,Stefan,olo,PROPN,Стефан,,,
165,77526,66189,Sudal,olo,PROPN,Судалица,,,
166,19352,17433,Suomenlahti,olo,PROPN,Финский залив,,,
167,19353,17434,Suomi,olo,PROPN,Финляндия,Finland,,
168,19454,17522,Suuri Pyhä,olo,PHRASE,Великий Пост,,,
169,19455,17523,Suuri nelläspäivy,olo,PHRASE,"Страстной четверг, чистый четверг",,,
170,77132,65820,Sviri,olo,PROPN,Свирь,,,
171,77129,65817,Svirskoi,olo,ADJ,Свирский,,,
172,19533,17600,Syndy,olo,PROPN,"мифологический образ, связанный со временем зимних святок",,,
173,86829,17600,Syndy,olo,PROPN,"Христос, Спаситель",,,
174,20489,18414,Tatuarii,olo,PROPN,"Татария, Татарстан",,,
175,77393,66066,Tepoiniemi,olo,PROPN,Степаннаволок,,,
176,23245,20828,Turcii,olo,PROPN,Турция,Turkey,,
177,81956,69945,Tuuksi,olo,PROPN,Тукса,,,
178,19791,17833,Udmurtii,olo,PROPN,Удмуртия,,,
179,19849,17885,Ukrainu,olo,PROPN,Украина,Ukraine,,
180,77449,66120,Urual,olo,PROPN,Урал,,,
181,77433,66104,Uutjärvi,olo,PROPN,Утозеро,,,
182,77431,66102,Vahjärvi,olo,PROPN,Вагвозеро,,,
183,20233,18218,Vahnu Sana,olo,PHRASE,Ветхий Завет,,,
184,69229,59111,Valamoi,olo,PROPN,Валаам,,,
185,20645,18551,Valdivonbanku,olo,PROPN,Государственный Банк,,,
186,77134,65822,Vassa,olo,PROPN,Васса,,,
187,74572,63629,Vas’a,olo,PROPN,Вася,,,
188,21108,18942,Veden’n’y,olo,PROPN,Введение во храм Пресвятой Богородицы (церковный праздник),,,
189,21187,19003,Vengrii,olo,PROPN,Венгрия,Hungary,,
190,21165,18983,Ven’a,olo,PROPN,Россия,Russia,,
191,23190,20780,Ven’an tiedoakadiemien Karjalan tiedokeskus,olo,PHRASE,Карельский научный центр Российской Aкадемии наук,,,
192,23189,20779,Ven’an tiedoakadiemien Karjalan tutkimuskeskus,olo,PHRASE,Карельский научный центр Российской Академии Наук,,,
193,21170,18988,Ven’anmua,olo,PROPN,Россия,Russia,,
194,81959,69948,Videl,olo,PROPN,Видлица (село в Олонецком национальном районе Республики Карелия),,,
195,81741,69792,Vieljärvi,olo,PROPN,Ведлозеро,,,
196,21445,19243,Vieristy,olo,PROPN,Крещение,,,
197,92187,79244,Viflejem,olo,PROPN,Вифлеем,,,
198,21830,19585,Viändöi,olo,PROPN,"летние cвятки, период от Иванова до Петрова дня",,,
199,21925,19669,Voitonparuadu,olo,PROPN,парад Победы,,,
200,21926,19670,Voitonpäivy,olo,PROPN,День Победы,,,
201,21931,19674,Voittoveräi,olo,PROPN,Триумфальная арка,,,
202,21956,19697,Voznesen’n’u,olo,PROPN,Вознесение Господне (праздник православной церкви),,,
203,22200,19916,Välimeri,olo,PROPN,Средиземное морe,,,
204,22590,20258,Yhtenäine Valdivon tutkindo,olo,PHRASE,ЕГЭ (единый государственный экзамен),,,
205,22619,20282,Yhtistynnyöt Kanzukunnat,olo,PHRASE,Организация Объединённых Наций (ООН),,,
206,2962,3008,a,olo,CCONJ,а; но (союз противопоставительный),,,
207,2963,3008,a,olo,CCONJ,a (союз присоединительный),,,
208,42577,36858,aaldo,olo,NOUN,волна,wave,48,A21
209,54987,48380,aardeh,olo,NOUN,"клад, сокровище",,1047,B36
210,2964,3009,aarii,olo,NOUN,ария,,,
211,54988,48381,aarreh,olo,NOUN,"клад, сокровище",,1047,B36
212,2966,3011,aazielaine,olo,ADJ,азиатский,,,
213,2965,3010,aazielaine,olo,NOUN,"азиат, азиатка",Asian,,
214,3569,3539,abai,olo,NOUN,"тоня, место рыбной ловли закидным методом",,976,B353
215,3570,3539,abai,olo,NOUN,разовый подъем невода из тони и улов,,,
216,74287,63363,abajisto,olo,NOUN,тоня (участок водоёма для лова рыбы неводом; место завода невода),,976,B353
217,50101,43936,abarehet,olo,NOUN,отжимки,,625,B181
218,2970,3014,abbreviatuuru,olo,NOUN,аббревиатура (сложносокращённое слово),,,
219,2973,3017,abei,olo,ADJ,"грустный, жалобный, печальный",,,
220,2972,3016,abei,olo,ADV,обидно,,,
221,2971,3015,abei,olo,NOUN,горечь; обида; кручина,,722,B22
222,2974,3017,abei,olo,ADJ,"обидный, оскорбительный",,,
223,3745,3697,abeija,olo,VERB,"обижать, обидеть",,,
224,60468,53147,abeimieline,olo,ADJ,"печальный, грустный",,,
225,87174,74476,abeičendu,olo,NOUN,обида,offence; insult,,
226,60467,53146,abeičus,olo,NOUN,"обида, оскорбление",the state of being offended or displeased; anger; displeasure.,,
227,3730,3684,abeiččii,olo,NOUN,"обидчик, обидчица",,,
228,3736,3690,aberi,olo,NOUN,букварь,,,
229,2978,3021,abessiivu,olo,NOUN,абессив (лишительный падеж),,,
230,2979,3022,abevoija,olo,VERB,обижать,offend; hurt,,
231,2980,3023,abevuo,olo,VERB,"обижаться, обидеться",,,
232,2981,3024,abevus,olo,NOUN,обида,offence; insult,722,B22
233,2982,3025,abieh,olo,ADV,"жалобно, жалостно",,,
234,12831,11594,abiehko,olo,PRE,"довольно грустно, довольно печально, довольно тоскливо",,,
