id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
121,77809,65987,Laht,lud,PROPN,Лахта,,,
122,90067,77145,Lahtemmägi,lud,PROPN,Лахтинская гора,,,
123,90066,77144,Lahtenmägi,lud,PROPN,Лахтинская гора,,,
124,88259,75457,Lahti,lud,PROPN,Спасская Губа,,,
125,90068,77146,Lauri,lud,PROPN,Лаури,,,
126,91213,78302,Lavri,lud,PROPN,"Лаври, Лаврентий",,,
127,78550,67116,Lesken,lud,PROPN,Лескен (фамилия жителя Пелдожи),,,
128,77798,66436,Lidžmi,lud,PROPN,Лижма,,,
129,78630,67183,Lid’a,lud,PROPN,Лидия,,,
130,89848,76939,Lietemägi,lud,PROPN,Лиэте-гора (Песчаная гора),,,
131,77819,66455,Liidečura,lud,PROPN,Восточное Кончезеро,,,
132,78072,66686,Liiga,lud,NOUN,Лига,,,
133,89528,76630,Lind’ärvi,lud,PROPN,Линдозеро,,,
134,86250,73632,Ližmäine,lud,PROPN,Лижмозеро,,,
135,89769,76862,Login,lud,PROPN,Логиново,,,
136,89536,76638,Lohmuoine,lud,PROPN,Логмозеро,,,
137,77862,66498,Luodehkylä,lud,PROPN,Западное Кончезеро,,,
138,89807,76899,Lužme,lud,PROPN,озеро Лужма,,,
139,90967,78053,Löhlö,lud,PROPN,Лёхлё (кличка),,,
140,78547,67113,L’evoske,lud,PROPN,Левоски (фамилия жителя Пелдожи),,,
141,90975,78061,Madžu,lud,PROPN,"Маджу (имя, прозвище)",,,
142,77846,66482,Makovei,lud,PROPN,Маковей,,,
143,89833,76925,Mange,lud,PROPN,деревня Маньга,,,
144,90431,77516,Man’a,lud,PROPN,"Маня, Маша, Мария",,,
145,91646,78719,Man’oi,lud,PROPN,"Манёй, Маша",,,
146,90181,77259,Martte,lud,PROPN,Марта,,,
147,89529,76631,Matrosse,lud,PROPN,посёлок Матросы,,,
148,90193,77271,Mačči,lud,PROPN,"Маччи, Матвей",,,
149,77808,66446,Mecuoiniem,lud,PROPN,Мошничье,,,
150,89803,76895,Mel’l’ičče,lud,PROPN,деревня Мелличче (Мельница),,,
151,89819,76911,Mel’l’iččekülä,lud,PROPN,деревня Мельница,,,
152,91716,78788,Mečuoiniemi,lud,PROPN,деревня Мошничье,,,
153,78545,67111,Miikkul,lud,PROPN,"Мийкул, Николай",,,
154,90953,78039,Miitrii,lud,PROPN,Дмитрий,,,
