category_id	pos	concept_id	concept_ru	concept_en	wdh	wdh_source	wdh_confidence	wdh_note
A412	NOUN	192	бобр	beaver	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	193	барсук	badger	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	194	росомаха	wolverine	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	195	крот	mole	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	196	крыса	rat	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	197	летучая мышь	bat (flying mouse)	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	198	мышь	mouse	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A412	NOUN	199	ёж	hedgehog (animal)	animals, biology	inherited_from_category	medium	WDH inherited from category A412
A42	NOUN	200	птица	bird	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	201	стая (птиц)	flock (of birds)	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	202	гребень петуха	crest of a rooster	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	203	клюв	beak	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	204	крыло	wing	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	205	перо	feather	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	206	пух	down, underfur	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	207	дрозд	thrush (bird)	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	208	скворец	starling	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	209	грач	rook	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	210	галка	jackdaw	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	211	кукушка	cuckoo	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	212	дятел	woodpecker	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	213	жаворонок	lark, skylark	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	214	куропатка (белая)	ptarmigan	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	215	ласточка	swallow (bird)	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	216	голубь	dove, pigeon	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	217	воробей	sparrow	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	218	утка	duck	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	219	гусь	goose	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	220	чирок	teal	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	221	гагара	loon	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	222	чайка	seagull	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	223	лебедь	swan	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	224	кулик	sandpiper, snipe	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	225	журавль	crane	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	VERB	226	курлыкать	to crane-call	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	227	рябчик	hazel grouse	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	228	глухарь	wood grouse	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	229	глухарка	wood grouse (female)	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	230	тетерев	black grouse	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	231	сорока	magpie	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	232	ворона	crow	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	233	ворон	raven	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	234	ястреб	hawk (a predatory bird)	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	235	орёл	eagle	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A42	NOUN	236	сова	owl	animals, biology	inherited_from_category	medium	WDH inherited from category A42
A43	NOUN	237	рыба	fish	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	238	чешуя	scales (of fish, reptiles, etc.)	animals, biology	inherited_from_category	medium	WDH inherited from category A43
