category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
A43	NOUN	240	жабры	gill	наружный парный орган дыхания (газообмена) водных животных (рыб, раков, моллюсков и некоторых земноводных), дышащих кислородом, растворённым в воде	A breathing organ of fish and other aquatic animals.
A43	NOUN	241	икра (рыбья)	roe, spawn (of fish)		
A43	VERB	242	метать икру	to spawn		
A43	NOUN	243	молоки	milt		
A43	NOUN	244	молодь рыбы	juvenile fish		
A43	NOUN	245	лосось	salmon		
A43	NOUN	246	сёмга	salmon		
A43	NOUN	247	сиг	coregonus		
A43	NOUN	248	щука	northern pike, pike		
A43	NOUN	249	окунь	European perch, redfin perch, perch		
A43	NOUN	250	налим	burbot, bubbot, mariah, freshwater ling, the lawyer, coney-f		
A43	NOUN	251	язь	ide, orfe		
A43	NOUN	252	лещ	common bream, freshwater bream, bream, bronze bream, carp bream		
A43	NOUN	253	плотва	rutilus		
A43	NOUN	254	ёрш	ruffe	колючая пресноводная рыба семейства окуневых	a small Eurasian freshwater fish
A43	NOUN	255	ряпушка	Coregonus albula, vendace, European cisco		
A43	NOUN	256	корюшка	smelt, European smelt		
A43	NOUN	257	судак	sander, zander		
A43	NOUN	258	хариус	grayling, Thymallus		
A43	NOUN	259	угорь	eel		
A44	NOUN	260	муравей	ant		
A44	NOUN	261	бабочка	butterfly	насекомое отряда чешуекрылых, мотылёк	a flying insect of the order Lepidoptera, distinguished from moths by their diurnal activity and generally brighter colouring
A44	NOUN	262	жук	beetle	Любой из многочисленных видов насекомых отряда жесткокрылых, характеризующийся парой твердых, похожих на раковины передних крыльев, которые в состоянии покоя прикрывают и защищают пару задних крыльев.	Any of numerous species of insect in the order Coleoptera characterized by a pair of hard, shell-like front wings which cover and protect a pair of rear wings when at rest.
A44	NOUN	263	клещ	tick		
A44	NOUN	264	личинка (под корой дерева)			
A44	NOUN	265	клоп			
A44	NOUN	266	таракан			
A44	NOUN	267	паук			
A44	NOUN	268	гнида	nit	яйцо вши (небольшое бескрылое кровососущее насекомое-паразит)	the egg of a louse (a small parasitic wingless insect)
A44	NOUN	269	блоха	flea	мелкое паразитическое кровососущее прыгающее насекомое	a small, wingless, parasitic insect of the order Siphonaptera, renowned for its bloodsucking habits and jumping abilities
A44	NOUN	270	ящерица			
A44	NOUN	271	змея	snake	хищное холоднокровное пресмыкающееся с длинным извивающимся, покрытым чешуёй телом, не имеющее конечностей, часто с ядовитыми же́лезами в пасти, питающееся мелкими млекопитающими, ящерицами, лягушками, птицами, их яйцами, рыбой, насекомыми и другими беспо	Any of the suborder Serpentes of legless reptile with long, thin bodies and fork-shaped tongues.
A44	NOUN	272	лягушка			
A44	NOUN	273	жаба	toad	Земноводное, род лягушек (отряд Anura) с более короткими задними ногами и более сухой, бородавчатой ​​кожей, многие из которых относятся к семейству Bufonidae.	An amphibian, a kind of frog (order Anura) with shorter hindlegs and a drier, wartier skin, many in family Bufonidae. 
A44	NOUN	274	улитка			
A44	NOUN	275	червяк			
A44	NOUN	276	муха			
A44	NOUN	277	овод			
A44	NOUN	278	комар			
A44	NOUN	279	мошка			
A44	NOUN	280	оса			
B11	NOUN	281	человек			
B11	NOUN	282	имя	name		
B11	NOUN	283	мужчина			
B11	NOUN	284	мальчик			
B11	NOUN	285	парень			
B11	NOUN	286	девушка	girl	незамужнее лицо женского пола в период между отрочеством и юностью	a young female human
B11	NOUN	287	женщина	woman	лицо женского пола (обычно только взрослая) 	An adult female human.
B11	NOUN	288	народ, люди	people		
B11	ADJ	289	тихий, спокойный (о человеке)			
B11	ADJ	290	взрослый	adult	достигший зрелого возраста	a fully grown human or animal
B11	ADJ	291	высокий	tall	имеющий большую протяжённость от верхней точки до нижней	having a vertical extent greater than the average
B11	ADJ	292	маленький			
B11	ADJ	293	красивый			
B11	ADJ	294	лучший, самый хороший			
B11	VERB	295	сметь			
B11	ADJ	296	смелый			
B11	ADJ	297	хитрый			
B11	ADJ	298	чужой			
B11	NOUN	299	сила			
B11	NOUN	300	счастье			
B11	NOUN	301	характер			
B11	VERB	302	хвалить			
B11	VERB	303	устать			
B11	PRON	304	я	I		
B11	PRON	305	мы	we		
B11	PRON	306	ты	you		
B11	PRON	307	вы	you	используется для обозначения нескольких лиц, включая собеседника (собеседников), но исключая говорящего	used to refer to several persons, including the interlocutor(s), but excluding the speaker
B11	PRON	308	тот	that		
B11	PRON	309	те	those		
B11	PRON	310	он	he		
B11	PRON	311	они	they		
B11	PRON	312	сам (сама, само)			
B11	PRON	313	свой			
B11	PRON	314	этот	this		
B11	PRON	315	кто	who		
B11	PRON	316	какой			
B11	PRON	317	что	what		
B11	PRON	318	иной, некий, некоторый			
B11	PRON	319	каждый			
B11	ADV	320	как			
B12	NOUN	321	тело	body		
B12	NOUN	322	туловище			
B12	ADJ	323	большой	big	имеющий крупный, значительный размер, превосходящий среднее значение	of great size, large
B12	ADJ	324	толстый, полный (о человеке)			
B12	ADJ	325	тонкий			
B12	ADJ	326	худой, тощий			
B12	ADJ	327	слабый (о человеке)			
B12	ADJ	328	сильный			
B12	NOUN	329	кожа (человека)			
B12	VERB	330	потеть			
B12	NOUN	331	голова	head	верхняя часть тела человека, передняя или верхняя часть тела позвоночного или беспозвоночного животного, а также насекомого, в которой находятся органы зрения и рот	the part of the body of an animal or human which contains the brain, mouth and main sense organs
B12	NOUN	332	затылок	nape	задняя, выдавшаяся назад часть головы у человека и у животных, над самой шеей или загривком, под теменем	The back part of the neck.
B12	NOUN	333	волосы (на голове)	hair	волосяной покров головы, шевелюра как единый объект	the collection or mass of such growths growing from the skin of humans and animals, and forming a covering for a part of the head
B12	NOUN	334	кудри			
B12	NOUN	335	коса (заплетенные волосы)			
B12	NOUN	336	перхоть			
B12	VERB	337	чесать, расчесывать (волосы)			
B12	VERB	338	зудеть, чесаться	to itch	испытывать на коже раздражение, сопровождающееся потребностью тереть, скрести ногтем больное место	To feel itchy; to feel a need to be scratched.
B12	NOUN	339	череп			
B12	ADJ	340	лысый			
B12	NOUN	341	борода	beard	у человека и некоторых животных — волосяной покров нижней части лица	facial hair on the chin, cheeks, jaw and neck
B12	NOUN	342	усы			
B12	NOUN	343	висок	temple	боковая часть головы от уха до начала лба	the slightly flatter region, on either side of the human head, behind the eye and forehead, above the zygomatic arch, and forward of the ear
B12	NOUN	344	лицо			
B12	NOUN	345	лоб			
B12	NOUN	346	щека			
B12	NOUN	347	подбородок			
B12	NOUN	348	рот			
B12	NOUN	349	десны	gums	мышечная ткань и слизистая оболочка, покрывающие края челюстей у основания зубов	the flesh around the teeth
B12	NOUN	350	язык	tongue		
B12	VERB	351	глотать	to swallow	движением глотки проталкивать, перемещать изо рта в пищевод и желудок	to cause (food, drink etc.) to pass from the mouth into the stomach; to take into the stomach through the throat
B12	VERB	352	лизать			
B12	VERB	353	плевать			
B12	VERB	354	дуть	to blow	пускать ртом струю воздуха	to propel by an air current, usually with the mouth
B12	NOUN	355	губа	lip	часть лица, кожно-мускульная складка, закрывающая рот сверху или снизу, также кожно-мускульная складка в других частях тела	either of the two fleshy protrusions around the opening of the mouth
B12	NOUN	356	зуб (у человека)	tooth	костное образование в ротовой полости, служащее в основном для первичной механической обработки пищи	A hard, calcareous structure present in the mouth of many vertebrate animals, generally used for biting and chewing food.
B12	NOUN	357	слюна			
B12	NOUN	358	голос	voice	звуки, возникающие вследствие колебания голосовых связок при разговоре, крике, пении и отличающиеся высотой, характером звучания и т. п.	sound uttered by the mouth, especially by human beings in speech or song; sound thus uttered considered as possessing some special quality or character
B12	VERB	359	кричать			
B12	VERB	360	шептать			
B12	VERB	361	замолчать	to become silent	перестать говорить, петь или издавать иные звуки голосом	To stop speaking, singing, or making other sounds with your voice.
B12	NOUN	362	шея	neck		
B12	NOUN	363	плечо			
B12	NOUN	364	подмышки			
